Id,Week,Date,HomeTeam,Score,AwayTeam,Attendence,HTShotsOnTarget,ATShotsOnTarget,HTShotsTotal,ATShotsTotal,HTPossesion,ATPossesion,HTPassesTotal,ATPassesTotal,HTPassingAccuracy,ATPassingAccuracy,HTResult,HTPoints,HTGoalsScored,HTGoalsAgainst,HTGoalDifference,HTMatchesWon,HTMatchesLost,HTMatchesDraw,ATPoints,ATGoalsScored,ATGoalsAgainst,ATGoalDifference,ATMatchesWon,ATMatchesLost,ATMatchesDraw
63,7,10/01/2022 00:00:00,Sevilla,0:2,Atlético Madrid,37754,3,6,14,20,60,40,683,447,86,77,L,5,7,11,-4,1,3,2,10,10,6,4,3,2,1
64,7,10/01/2022 00:00:00,Mallorca,0:1,Barcelona,18103,3,3,13,11,29,71,323,804,76,91,L,8,6,7,-1,2,2,2,16,18,1,17,5,0,1
65,7,10/02/2022 00:00:00,Espanyol,2:2,Valencia,19766,5,5,10,12,38,62,332,537,66,80,D,4,7,12,-5,1,4,1,9,10,5,5,3,3,0
66,7,10/02/2022 00:00:00,Celta Vigo,1:0,Betis,14344,4,4,11,9,46,54,419,485,79,79,W,7,8,13,-5,2,3,1,15,10,4,6,5,1,0
67,7,10/02/2022 00:00:00,Girona,3:5,Real Sociedad,12217,8,5,16,11,41,59,355,516,77,84,L,7,7,7,0,2,3,1,10,7,8,-1,3,2,1
68,7,10/02/2022 00:00:00,Real Madrid,1:1,Osasuna,5541,4,2,21,8,64,36,668,371,88,79,D,18,17,6,11,6,0,0,12,7,5,2,4,2,0
69,7,10/03/2022 00:00:00,Rayo Vallecano,2:1,Elche,11662,6,2,15,6,70,30,607,255,81,62,W,7,7,8,-1,2,3,1,1,2,16,-14,0,5,1
70,8,10/07/2022 00:00:00,Osasuna,1:2,Valencia,2026,2,7,10,14,44,56,361,453,70,74,L,13,8,6,2,4,2,1,10,12,7,5,3,3,1
71,8,10/08/2022 00:00:00,Almería,3:1,Rayo Vallecano,10783,4,4,10,12,37,63,304,516,65,79,W,4,4,11,-7,1,5,1,10,9,9,0,3,3,1
72,8,10/08/2022 00:00:00,Atlético Madrid,2:1,Girona,54069,7,4,13,11,45,55,537,661,84,86,W,13,12,6,6,4,2,1,7,10,12,-2,2,4,1
73,8,10/08/2022 00:00:00,Sevilla,1:1,Athletic Club,36502,3,4,10,21,45,55,405,486,70,79,D,5,7,13,-6,1,4,2,16,16,4,12,5,1,1
74,8,10/08/2022 00:00:00,Getafe,0:1,Real Madrid,14502,2,4,9,19,35,65,415,777,74,89,L,7,8,15,-7,2,4,1,19,18,7,11,6,0,1
75,8,10/09/2022 00:00:00,Valladolid,0:0,Betis,22561,3,1,12,4,58,42,560,398,83,78,D,7,6,13,-7,2,4,1,15,10,5,5,5,2,0
76,8,10/09/2022 00:00:00,Cádiz,2:2,Espanyol,16572,3,6,8,9,54,46,445,378,69,73,D,4,1,14,-13,1,5,1,5,9,14,-5,1,4,2
77,8,10/09/2022 00:00:00,Real Sociedad,1:0,Villarreal,32689,5,1,17,5,60,40,558,376,87,81,W,13,12,11,1,4,2,1,12,10,2,8,3,1,3
78,8,10/09/2022 00:00:00,Barcelona,1:0,Celta Vigo,81525,5,3,13,14,57,43,616,456,85,78,W,19,19,1,18,6,0,1,10,9,13,-4,3,3,1
79,8,10/10/2022 00:00:00,Elche,1:1,Mallorca,120,2,2,7,9,42,58,352,493,74,81,D,1,3,18,-15,0,6,1,8,6,8,-2,2,3,2
80,9,10/14/2022 00:00:00,Rayo Vallecano,0:0,Getafe,13076,2,3,16,6,65,35,657,353,80,69,D,10,10,12,-2,3,4,1,7,8,16,-8,2,5,1
81,9,10/15/2022 00:00:00,Girona,1:1,Cádiz,9927,5,2,22,9,65,35,557,306,81,67,D,7,11,14,-3,2,5,1,5,3,16,-13,1,5,2
82,9,10/15/2022 00:00:00,Valencia,2:2,Elche,41805,6,5,19,7,60,40,530,357,82,75,D,13,14,8,6,4,3,1,2,4,19,-15,0,6,2
83,9,10/15/2022 00:00:00,Mallorca,0:1,Sevilla,153,4,1,9,4,44,56,417,533,78,81,L,9,7,9,-2,2,3,3,6,8,14,-6,1,4,3
84,9,10/15/2022 00:00:00,Athletic Club,0:1,Atlético Madrid,48391,3,1,13,3,60,40,629,411,78,70,L,17,17,5,12,5,1,2,16,14,7,7,5,2,1
85,9,10/16/2022 00:00:00,Celta Vigo,1:2,Real Sociedad,13101,3,6,10,8,53,47,498,440,81,77,L,10,9,14,-5,3,4,1,16,13,11,2,5,2,1
86,9,10/16/2022 00:00:00,Real Madrid,3:1,Barcelona,62876,3,5,7,18,44,56,447,576,83,88,W,22,19,7,12,7,0,1,22,20,1,19,7,0,1
87,9,10/16/2022 00:00:00,Espanyol,1:0,Valladolid,1777,3,2,15,14,49,51,418,437,74,76,W,6,11,16,-5,1,4,3,8,6,13,-7,2,4,2
88,9,10/16/2022 00:00:00,Betis,3:1,Almería,46112,6,5,16,12,54,46,564,475,81,82,W,16,10,5,5,5,2,1,7,7,12,-5,2,5,1
89,9,10/17/2022 00:00:00,Villarreal,2:0,Osasuna,9699,8,3,11,14,58,42,454,326,81,76,W,12,10,3,7,3,2,3,13,9,8,1,4,3,1
90,10,10/18/2022 00:00:00,Sevilla,1:1,Valencia,37353,5,4,18,12,64,36,548,313,82,75,D,9,9,14,-5,2,4,3,14,16,10,6,4,3,2
91,10,10/18/2022 00:00:00,Getafe,2:2,Athletic Club,11395,4,4,11,14,41,59,411,580,69,80,D,8,8,16,-8,2,5,2,17,17,6,11,5,2,2
92,10,10/18/2022 00:00:00,Atlético Madrid,1:1,Rayo Vallecano,46803,4,3,12,13,52,48,572,524,82,79,D,19,15,7,8,6,2,1,11,10,12,-2,3,4,2
93,10,10/19/2022 00:00:00,Cádiz,0:0,Betis,18505,3,3,13,12,41,59,381,553,73,81,D,6,4,17,-13,1,5,3,19,13,6,7,6,2,1
94,10,10/19/2022 00:00:00,Valladolid,4:1,Celta Vigo,16547,6,4,8,21,38,62,327,537,70,82,W,8,6,14,-8,2,5,2,10,10,16,-6,3,5,1
95,10,10/19/2022 00:00:00,Real Sociedad,1:0,Mallorca,27085,7,3,14,12,51,49,448,424,79,75,W,19,15,12,3,6,2,1,9,7,10,-3,2,4,3
96,10,10/19/2022 00:00:00,Elche,0:3,Real Madrid,30236,3,6,10,10,38,62,469,770,86,93,L,3,6,21,-15,0,6,3,25,22,8,14,8,0,1
97,10,10/20/2022 00:00:00,Almería,3:2,Girona,11194,7,3,13,12,35,65,273,511,69,81,W,7,8,15,-7,2,6,1,8,12,15,-3,2,5,2
98,10,10/20/2022 00:00:00,Osasuna,1:0,Espanyol,17832,5,3,17,5,64,36,552,316,78,61,W,13,9,10,-1,4,4,1,9,12,16,-4,2,4,3
99,10,10/20/2022 00:00:00,Barcelona,3:0,Villarreal,73261,5,1,16,5,69,31,804,353,92,84,W,22,21,4,17,7,1,1,15,12,3,9,4,2,3
100,11,10/22/2022 00:00:00,Rayo Vallecano,5:1,Cádiz,12975,10,0,27,3,62,38,495,305,82,72,W,12,11,13,-2,3,4,3,7,4,17,-13,1,5,4
101,11,10/22/2022 00:00:00,Valladolid,1:0,Real Sociedad,21175,2,2,9,20,26,74,216,627,56,84,W,11,10,15,-5,3,5,2,22,16,12,4,7,2,1
102,11,10/22/2022 00:00:00,Valencia,1:2,Mallorca,41199,2,4,12,9,67,33,614,299,81,69,L,15,17,11,6,4,3,3,9,7,11,-4,2,5,3
103,11,10/22/2022 00:00:00,Real Madrid,3:1,Sevilla,59625,6,2,18,9,56,44,665,522,90,85,W,28,25,8,17,9,0,1,10,10,15,-5,2,4,4
104,11,10/23/2022 00:00:00,Espanyol,2:2,Elche,1756,5,4,13,9,41,59,411,588,79,85,D,9,12,17,-5,2,5,3,3,6,24,-18,0,7,3
105,11,10/23/2022 00:00:00,Betis,1:2,Atlético Madrid,50179,4,3,17,9,55,45,605,502,84,81,L,20,13,6,7,6,2,2,20,16,8,8,6,2,2
106,11,10/23/2022 00:00:00,Girona,1:1,Osasuna,10032,1,2,7,9,50,50,519,520,79,82,D,8,14,18,-4,2,6,2,16,10,10,0,5,4,1
107,11,10/23/2022 00:00:00,Villarreal,2:1,Almería,13816,5,4,11,15,52,48,496,461,79,78,W,15,12,6,6,4,3,3,10,11,17,-6,3,6,1
108,11,10/23/2022 00:00:00,Barcelona,4:0,Athletic Club,84817,7,1,10,5,65,35,706,378,89,78,W,25,24,4,20,8,1,1,18,19,8,11,5,2,3
109,11,10/24/2022 00:00:00,Celta Vigo,1:1,Getafe,9774,5,1,17,4,71,29,722,297,83,64,D,10,11,20,-9,3,6,1,9,10,18,-8,2,5,3
110,12,10/28/2022 00:00:00,Mallorca,1:1,Espanyol,13982,5,2,13,7,52,48,499,463,80,76,D,12,9,12,-3,3,5,3,10,14,19,-5,2,5,4
111,12,10/29/2022 00:00:00,Almería,3:1,Celta Vigo,1108,5,3,19,8,61,39,560,354,85,75,W,10,12,19,-7,3,7,1,11,12,21,-9,3,6,2
112,12,10/29/2022 00:00:00,Cádiz,3:2,Atlético Madrid,18183,7,8,10,16,41,59,382,556,77,85,W,7,5,22,-17,1,6,4,23,18,9,9,7,2,2
113,12,10/29/2022 00:00:00,Sevilla,0:1,Rayo Vallecano,36601,4,5,10,15,62,38,569,346,79,71,L,10,11,18,-7,2,5,4,15,16,14,2,4,4,3
114,12,10/29/2022 00:00:00,Valencia,0:1,Barcelona,46007,2,2,3,13,33,67,313,629,75,85,L,15,18,13,5,4,4,3,28,28,4,24,9,1,1
115,12,10/30/2022 00:00:00,Osasuna,2:0,Valladolid,19429,9,2,19,7,48,52,437,473,79,79,W,17,11,11,0,5,4,2,14,11,15,-4,4,5,2
116,12,10/30/2022 00:00:00,Real Madrid,1:1,Girona,58367,6,1,19,7,58,42,680,489,90,87,D,31,28,9,19,10,0,1,9,15,19,-4,2,6,3
117,12,10/30/2022 00:00:00,Athletic Club,1:0,Villarreal,46081,7,3,19,6,43,57,419,555,75,83,W,18,19,12,7,5,3,3,18,14,7,7,5,3,3
118,12,10/30/2022 00:00:00,Real Sociedad,0:2,Betis,32435,7,4,14,10,58,42,465,340,82,75,L,22,16,13,3,7,3,1,20,14,8,6,6,3,2
119,12,10/31/2022 00:00:00,Elche,0:1,Getafe,19588,4,3,11,8,59,41,579,403,80,73,L,4,8,26,-18,0,7,4,10,11,19,-8,2,5,4
120,13,11/04/2022 00:00:00,Girona,2:1,Athletic Club,1142,10,7,19,11,42,58,404,567,77,81,W,10,16,20,-4,2,6,4,21,20,12,8,6,3,3
121,13,11/05/2022 00:00:00,Getafe,0:0,Cádiz,10554,1,4,13,15,53,47,481,432,78,73,D,13,12,19,-7,3,5,4,10,8,24,-16,2,6,4
122,13,11/05/2022 00:00:00,Valladolid,2:1,Elche,20176,11,2,16,4,51,49,465,455,81,80,W,14,11,17,-6,4,6,2,4,8,27,-19,0,8,4
123,13,11/05/2022 00:00:00,Celta Vigo,1:2,Osasuna,14209,5,4,13,8,61,39,583,373,83,75,L,11,13,24,-11,3,7,2,20,13,11,2,6,4,2
124,13,11/05/2022 00:00:00,Barcelona,2:0,Almería,92605,12,1,26,4,70,30,769,336,88,73,W,31,29,4,25,10,1,1,13,15,20,-5,4,7,1
125,13,11/06/2022 00:00:00,Atlético Madrid,1:1,Espanyol,50007,7,2,27,6,67,33,612,303,84,71,D,23,20,12,8,7,3,2,11,15,20,-5,2,5,5
126,13,11/06/2022 00:00:00,Real Sociedad,1:1,Valencia,32773,3,3,9,14,29,71,262,653,63,83,D,22,16,15,1,7,4,1,15,18,14,4,4,5,3
127,13,11/06/2022 00:00:00,Villarreal,0:2,Mallorca,16603,2,5,9,7,71,29,644,261,87,74,L,18,14,8,6,5,4,3,13,10,13,-3,3,5,4
128,13,11/06/2022 00:00:00,Betis,1:1,Sevilla,54034,4,5,9,22,37,63,335,566,79,85,D,23,16,8,8,7,3,2,10,11,19,-8,2,6,4
129,13,11/07/2022 00:00:00,Rayo Vallecano,3:2,Real Madrid,14216,6,1,14,15,46,54,412,489,78,83,W,18,17,14,3,5,4,3,32,29,10,19,10,0,2
130,14,11/08/2022 00:00:00,Elche,1:2,Girona,17339,2,3,11,21,45,55,390,483,76,82,L,4,9,29,-20,0,9,4,13,18,21,-3,3,6,4
131,14,11/08/2022 00:00:00,Athletic Club,3:0,Valladolid,40072,6,0,19,8,43,57,374,497,73,76,W,21,21,14,7,6,4,3,17,13,18,-5,5,6,2
132,14,11/08/2022 00:00:00,Osasuna,1:2,Barcelona,21603,3,3,15,9,47,53,480,543,78,81,L,23,15,12,3,7,4,2,34,31,4,27,11,1,1
133,14,11/09/2022 00:00:00,Almería,1:0,Getafe,11454,3,2,8,11,54,46,490,420,76,70,W,13,15,22,-7,4,8,1,14,12,19,-7,3,5,5
134,14,11/09/2022 00:00:00,Sevilla,1:2,Real Sociedad,34814,3,9,6,17,32,68,360,767,74,89,L,11,12,20,-8,2,6,5,23,17,16,1,7,4,2
